#{"t_start": 1768235997.5382318, "env_id": "None"}
r,l,t
0.95,6,43.654403
0.95,6,43.675418
0.95,6,43.702439
0.95,6,43.728464
0.95,6,43.752482
0.95,6,43.775497
0.95,6,43.795014
0.93,8,43.822036
0.95,6,43.842123
0.93,8,43.877278
0.95,6,43.894802
0.94,7,43.922317
0.95,6,43.953845
0.95,6,43.977877
0.95,6,43.997392
0.94,7,44.019928
0.93,8,44.048446
0.95,6,44.068969
0.95,6,44.091
0.95,6,44.11053
0.93,8,44.144562
0.94,7,44.16959
0.95,6,44.202615
0.95,6,44.226638
0.95,6,44.254167
0.95,6,44.276333
0.95,6,44.29436
0.95,6,44.317381
0.95,6,44.345925
0.95,6,44.369443
0.95,6,44.397464
0.95,6,44.419483
0.95,6,44.441518
0.95,6,44.464039
0.95,6,44.485564
0.95,6,44.506597
0.95,6,44.533672
0.95,6,44.554194
0.95,6,44.580716
0.95,6,44.605235
0.95,6,44.630762
0.93,8,44.657289
0.95,6,44.67832
0.95,6,44.701354
0.95,6,44.722882
0.95,6,44.741894
0.95,6,44.763427
0.95,6,44.786476
0.94,7,44.816501
0.95,6,44.842516
0.93,8,44.868038
0.95,6,44.88607
0.95,6,44.906082
0.95,6,44.924109
0.93,8,44.948152
0.95,6,44.971171
0.95,6,44.994201
0.95,6,45.013731
0.95,6,45.033255
0.95,6,45.053753
0.95,6,45.084863
0.95,6,45.105881
0.95,6,45.124898
0.95,6,45.147925
0.94,7,45.173959
0.94,7,45.209504
0.94,7,45.233023
0.94,7,45.255043
0.95,6,45.279072
0.94,7,45.303594
0.95,6,45.324615
0.95,6,45.345139
0.95,6,45.373178
0.95,6,45.392196
0.95,6,45.411721
0.95,6,45.438262
0.94,7,45.463772
0.94,7,45.486789
0.95,6,45.505311
0.95,6,45.523831
0.95,6,45.546839
0.95,6,45.565356
0.95,6,45.583367
0.95,6,45.602383
-1.01,2,45.610393
0.95,6,45.631577
0.95,6,45.653099
0.95,6,45.675121
0.95,6,45.698642
0.94,7,45.723652
0.94,7,45.750177
0.95,6,45.772207
0.95,6,45.794238
0.90000004,11,45.829764
-1.03,4,45.844787
0.95,6,45.868831
0.93,8,45.897346
0.95,6,45.91786
0.90000004,11,45.955541
0.92,9,45.985571
-1.06,7,46.012597
0.90000004,11,46.048153
0.92,9,46.07919
0.95,6,46.098209
0.93,8,46.131756
0.94,7,46.153274
0.95,6,46.171297
0.94,7,46.195823
0.95,6,46.218342
0.92,9,46.253873
0.95,6,46.273895
0.95,6,46.294415
0.90000004,11,46.332459
0.93,8,46.359473
0.92,9,46.385504
0.95,6,46.406527
0.95,6,46.429049
0.95,6,46.447569
0.95,6,46.467586
0.95,6,46.485595
0.93,8,46.512628
0.95,6,46.53215
0.95,6,46.550166
0.95,6,46.567725
0.95,6,46.595322
0.95,6,46.615342
0.95,6,46.635367
0.95,6,46.655388
0.95,6,46.676406
0.95,6,46.698925
0.95,6,46.720941
0.95,6,46.740959
0.95,6,46.761982
0.95,6,46.78
0.95,6,46.800014
0.93,8,46.824043
0.95,6,46.849061
0.95,6,46.870581
0.95,6,46.8886
0.95,6,46.908118
0.95,6,46.929641
0.95,6,46.94916
0.95,6,46.970678
0.95,6,46.990147
0.95,6,47.012759
0.95,6,47.031778
0.95,6,47.05029
0.95,6,47.070808
0.95,6,47.093827
0.95,6,47.114346
0.95,6,47.133868
0.95,6,47.15289
0.95,6,47.173409
0.95,6,47.191931
0.95,6,47.217949
0.95,6,47.240966
0.95,6,47.265494
0.95,6,47.286511
0.93,8,47.311537
0.95,6,47.329554
0.95,6,47.353572
0.95,6,47.373586
0.95,6,47.390609
0.95,6,47.411631
0.95,6,47.434652
0.95,6,47.453167
0.94,7,47.477176
0.95,6,47.497202
0.94,7,47.521223
0.95,6,47.541739
0.95,6,47.561258
0.95,6,47.57978
0.95,6,47.602308
0.93,8,47.626327
0.95,6,47.645346
0.90000004,11,47.682373
0.95,6,47.703394
0.94,7,47.729923
0.95,6,47.749945
0.95,6,47.770466
